YEAR,LOCATION,LOCATION_CODE,PRICE_CENTS_KWH,CPI,CPI_DEFLATOR,REAL_PRICE_CENTS_KWH,NOMINAL_YOY_PCT,REAL_YOY_PCT,CPI_YOY_PCT,DELTA_VS_INFLATION,ERA
2016,Arkansas,AR,9.92,240.0,1.3091666666666666,12.9869,1.0183299389002087,-0.245030263926016,1.2658227848101333,-0.2475,Recent (2010-2024)
2017,Arkansas,AR,10.28,245.1,1.2819257445940433,13.1782,3.629032258064502,1.4730228152984859,2.124999999999999,1.504,Recent (2010-2024)
2018,Arkansas,AR,9.81,251.1,1.2512943050577459,12.2752,-4.571984435797649,-6.852225645384047,2.447980416156681,-7.02,Recent (2010-2024)
2019,Arkansas,AR,9.8,255.7,1.2287837309346892,12.0421,-0.10193679918449883,-1.898950729927007,1.831939466348076,-1.9339,Recent (2010-2024)
2020,Arkansas,AR,10.41,258.8,1.214064914992272,12.6384,6.224489795918364,4.951794122287656,1.2123582323034787,5.0121,Recent (2010-2024)
2021,Arkansas,AR,11.27,270.9,1.1598375784422297,13.0714,8.261287223823244,3.426066590707677,4.675425038639869,3.5859,Recent (2010-2024)
2022,Arkansas,AR,12.05,292.7,1.0734540485138366,12.9351,6.921029281277735,-1.0427345196382998,8.047249907715038,-1.1262,Recent (2010-2024)
2023,Arkansas,AR,12.25,304.7,1.031178208073515,12.6319,1.6597510373443924,-2.344009710013839,4.0997608472839175,-2.44,Recent (2010-2024)
2024,Arkansas,AR,12.32,314.2,1.0,12.32,0.5714285714285783,-2.4691455758832803,3.1178208073515012,-2.5464,Recent (2010-2024)
2001,Florida,FL,8.59,177.1,1.7741389045736873,15.2399,,,,,Modern Era (1990-2009)
2002,Florida,FL,8.16,179.9,1.7465258476931627,14.2517,-5.005820721769494,-6.4842945163682275,1.5810276679842028,-6.5868,Modern Era (1990-2009)
2003,Florida,FL,8.55,184.0,1.7076086956521739,14.6001,4.779411764705888,2.4446206417479965,2.2790439132851503,2.5004,Modern Era (1990-2009)
2004,Florida,FL,8.99,188.9,1.6633139227104288,14.9532,5.146198830409343,2.41847658577683,2.6630434782608736,2.4832,Modern Era (1990-2009)
2005,Florida,FL,9.62,195.3,1.6088069636456732,15.4767,7.0077864293659475,3.500922879383661,3.388035997882488,3.6198,Modern Era (1990-2009)
2006,Florida,FL,11.33,201.6,1.558531746031746,17.6582,17.77546777546779,14.095382090497344,3.2258064516129004,14.5497,Modern Era (1990-2009)
2007,Florida,FL,11.22,207.3,1.5156777616980222,17.0059,-0.9708737864077666,-3.694034499552612,2.8273809523809534,-3.7983,Modern Era (1990-2009)
2008,Florida,FL,11.65,215.3,1.4593590339061773,17.0015,3.832442067736186,-0.025873373358664686,3.8591413410516084,-0.0267,Modern Era (1990-2009)
2009,Florida,FL,12.39,214.5,1.4648018648018648,18.1489,6.351931330472094,6.748816280916392,-0.3715745471435272,6.7235,Modern Era (1990-2009)
2010,Florida,FL,11.44,218.1,1.4406235671710224,16.4807,-7.667473769168698,-9.191741648254181,1.6783216783216703,-9.3458,Recent (2010-2024)
2011,Florida,FL,11.51,224.9,1.3970653623832814,16.0802,0.6118881118881037,-2.430115225688212,3.1178358551123386,-2.5059,Recent (2010-2024)
2012,Florida,FL,11.42,229.6,1.3684668989547037,15.6279,-0.7819287576020795,-2.812775960498015,2.089817696754115,-2.8717,Recent (2010-2024)
2013,Florida,FL,11.27,233.0,1.3484978540772532,15.1976,-1.3134851138353776,-2.7534089672956785,1.4808362369338024,-2.7943,Recent (2010-2024)
2014,Florida,FL,11.89,236.7,1.327418673426278,15.783,5.501330967169493,3.851923987998096,1.587982832618029,3.9133,Recent (2010-2024)
2015,Florida,FL,11.58,237.0,1.3257383966244725,15.3521,-2.607232968881412,-2.730152695938659,0.12674271229404788,-2.734,Recent (2010-2024)
2016,Florida,FL,10.98,240.0,1.3091666666666666,14.3746,-5.181347150259064,-6.3672070921893535,1.2658227848101333,-6.4472,Recent (2010-2024)
2017,Florida,FL,11.61,245.1,1.2819257445940433,14.8832,5.737704918032782,3.5381854103766486,2.124999999999999,3.6127,Recent (2010-2024)
2018,Florida,FL,11.54,251.1,1.2512943050577459,14.4399,-0.6029285099052539,-2.9785261234143268,2.447980416156681,-3.0509,Recent (2010-2024)
2019,Florida,FL,11.7,255.7,1.2287837309346892,14.3768,1.3864818024263537,-0.4369836356207468,1.831939466348076,-0.4455,Recent (2010-2024)
2020,Florida,FL,11.27,258.8,1.214064914992272,13.6825,-3.6752136752136733,-4.829308330087367,1.2123582323034787,-4.8876,Recent (2010-2024)
2021,Florida,FL,11.9,270.9,1.1598375784422297,13.8021,5.590062111801242,0.8741092636579628,4.675425038639869,0.9146,Recent (2010-2024)
2022,Florida,FL,13.9,292.7,1.0734540485138366,14.921,16.806722689075638,8.10673738054355,8.047249907715038,8.7595,Recent (2010-2024)
2023,Florida,FL,15.21,304.7,1.031178208073515,15.6842,9.42446043165468,5.114938677032388,4.0997608472839175,5.3247,Recent (2010-2024)
2024,Florida,FL,14.14,314.2,1.0,14.14,-7.034845496383957,-9.845577077568512,3.1178208073515012,-10.1527,Recent (2010-2024)
2001,Georgia,GA,7.72,177.1,1.7741389045736873,13.6964,,,,,Modern Era (1990-2009)
2002,Georgia,GA,7.63,179.9,1.7465258476931627,13.326,-1.1658031088082832,-2.7043602698519353,1.5810276679842028,-2.7468,Modern Era (1990-2009)
2003,Georgia,GA,7.7,184.0,1.7076086956521739,13.1486,0.917431192660545,-1.3312321776977387,2.2790439132851503,-1.3616,Modern Era (1990-2009)
2004,Georgia,GA,7.86,188.9,1.6633139227104288,13.0736,2.0779220779220786,-0.5704029326316085,2.6630434782608736,-0.5851,Modern Era (1990-2009)
2005,Georgia,GA,8.64,195.3,1.6088069636456732,13.9001,9.92366412213741,6.321900624158605,3.388035997882488,6.5356,Modern Era (1990-2009)
2006,Georgia,GA,8.91,201.6,1.558531746031746,13.8865,3.125,-0.09784102272645256,3.2258064516129004,-0.1008,Modern Era (1990-2009)
2007,Georgia,GA,9.1,207.3,1.5156777616980222,13.7927,2.1324354657688005,-0.6754761819032895,2.8273809523809534,-0.6949,Modern Era (1990-2009)
2008,Georgia,GA,9.93,215.3,1.4593590339061773,14.4914,9.120879120879133,5.065723172402792,3.8591413410516084,5.2617,Modern Era (1990-2009)
2009,Georgia,GA,10.13,214.5,1.4648018648018648,14.8384,2.014098690835864,2.3945236485087618,-0.3715745471435272,2.3857,Modern Era (1990-2009)
2010,Georgia,GA,10.07,218.1,1.4406235671710224,14.5071,-0.5923000987166915,-2.2327205089497593,1.6783216783216703,-2.2706,Recent (2010-2024)
2011,Georgia,GA,11.05,224.9,1.3970653623832814,15.4376,9.731876861966239,6.414100681735158,3.1178358551123386,6.614,Recent (2010-2024)
2012,Georgia,GA,11.17,229.6,1.3684668989547037,15.2858,1.0859728506787292,-0.9833134684147815,2.089817696754115,-1.0038,Recent (2010-2024)
2013,Georgia,GA,11.46,233.0,1.3484978540772532,15.4538,2.5962399283796067,1.0990592576116454,1.4808362369338024,1.1154,Recent (2010-2024)
2014,Georgia,GA,11.65,236.7,1.327418673426278,15.4644,1.6579406631762605,0.06859154382741206,1.587982832618029,0.07,Recent (2010-2024)
2015,Georgia,GA,11.54,237.0,1.3257383966244725,15.299,-0.9442060085837034,-1.069553296603809,0.12674271229404788,-1.0709,Recent (2010-2024)
